No,관리분류군,정이명여부,학명,대표국명,명명자,명명년도,Phylum,,Class,,Order,,Family,,Genus,,SubGenus,,Species,,콘텐츠 여부,URL
151,조류,정명,"Numenius arquata (Linnaeus, 1758)",마도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Numenius,마도요속,,,arquata,마도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001709
152,조류,정명,"Numenius madagascariensis (Linnaeus, 1766)",알락꼬리마도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Numenius,마도요속,,,madagascariensis,알락꼬리마도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001710
153,조류,정명,"Tringa erythropus (Pallas, 1764)",학도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Tringa,삑삑도요속,,,erythropus,학도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001712
154,조류,정명,"Tringa totanus (Linnaeus, 1758)",붉은발도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Tringa,삑삑도요속,,,totanus,붉은발도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001713
155,조류,정명,"Tringa stagnatilis (Bechstein, 1803)",쇠청다리도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Tringa,삑삑도요속,,,stagnatilis,쇠청다리도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001714
156,조류,정명,"Tringa nebularia (Gunnerus, 1767)",청다리도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Tringa,삑삑도요속,,,nebularia,청다리도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001715
157,조류,정명,"Tringa guttifer (Nordmann, 1835)",청다리도요사촌,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Tringa,삑삑도요속,,,guttifer,청다리도요사촌,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001716
158,조류,정명,"Tringa melanoleuca (Gmelin, 1789)",큰노랑발도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Tringa,삑삑도요속,,,melanoleuca,큰노랑발도요,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001717
159,조류,정명,"Tringa ochropus Linnaeus, 1758",삑삑도요,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Tringa,삑삑도요속,,,ochropus,삑삑도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001718
160,조류,정명,"Tringa glareola Linnaeus, 1758",알락도요,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Tringa,삑삑도요속,,,glareola,알락도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001719
161,조류,정명,"Xenus cinereus (G?ldenst?dt, 1774)",뒷부리도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Xenus,뒷부리도요속,,,cinereus,뒷부리도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001721
162,조류,정명,"Actitis hypoleucos (Linnaeus, 1758)",깝작도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Actitis,깝작도요속,,,hypoleucos,깝작도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001723
163,조류,정명,"Arenaria interpres (Linnaeus, 1758)",꼬까도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Arenaria,꼬까도요속,,,interpres,꼬까도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001727
164,조류,정명,"Calidris tenuirostris (Horsfield, 1821)",붉은어깨도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,tenuirostris,붉은어깨도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001729
165,조류,정명,"Calidris canutus (Linnaeus, 1758)",붉은가슴도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,canutus,붉은가슴도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001730
166,조류,정명,"Calidris alba (Pallas, 1764)",세가락도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,alba,세가락도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001731
167,조류,정명,"Calidris ruficollis (Pallas, 1776)",좀도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,ruficollis,좀도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001732
168,조류,정명,"Calidris minuta (Leisler, 1812)",작은도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,minuta,작은도요,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001733
169,조류,정명,"Calidris temminckii (Leisler, 1812)",흰꼬리좀도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,temminckii,흰꼬리좀도요,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001734
170,조류,정명,"Calidris subminuta (Middendorff, 1853)",종달도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,subminuta,종달도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001735
171,조류,정명,"Calidris melanotos (Vieillot, 1819)",아메리카메추라기도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,melanotos,아메리카메추라기도요,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001736
172,조류,정명,"Calidris acuminata (Horsfield, 1821)",메추라기도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,acuminata,메추라기도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001737
173,조류,정명,"Calidris ferruginea (Pontoppidan, 1763)",붉은갯도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,ferruginea,붉은갯도요,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001738
174,조류,정명,"Calidris alpina (Linnaeus, 1758)",민물도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Calidris,붉은가슴도요속,,,alpina,민물도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001739
175,조류,정명,"Phalaropus tricolor (Vieillot, 1819)",큰지느러미발도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Phalaropus,지느러미발도요속,,,tricolor,큰지느러미발도요,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001749
176,조류,정명,"Phalaropus lobatus (Linnaeus, 1758)",지느러미발도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Phalaropus,지느러미발도요속,,,lobatus,지느러미발도요,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001750
177,조류,정명,"Phalaropus fulicarius (Linnaeus, 1758)",붉은배지느러미발도요,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Scolopacidae,도요과,Phalaropus,지느러미발도요속,,,fulicarius,붉은배지느러미발도요,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001751
178,조류,정명,"Glareola maldivarum Forster, 1795",제비물떼새,Forster,1795,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Glareolidae,제비물떼새과,Glareola,제비물떼새속,,,maldivarum,제비물떼새,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001754
179,조류,정명,"Larus crassirostris Vieillot, 1818",괭이갈매기,Vieillot,1818,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Larus,갈매기속,,,crassirostris,괭이갈매기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001757
180,조류,정명,"Larus canus Linnaeus, 1758",갈매기,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Larus,갈매기속,,,canus,갈매기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001758
181,조류,정명,"Larus glaucescens Naumann, 1840",수리갈매기,Naumann,1840,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Larus,갈매기속,,,glaucescens,수리갈매기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001759
182,조류,정명,"Larus hyperboreus Gunnerus, 1767",흰갈매기,Gunnerus,1767,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Larus,갈매기속,,,hyperboreus,흰갈매기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001760
183,조류,정명,"Larus glaucoides B.Meyer, 1822",작은흰갈매기,B.Meyer,1822,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Larus,갈매기속,,,glaucoides,작은흰갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001761
184,조류,정명,"Larus smithsonianus Coues, 1862",옅은재갈매기,Coues,1862,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Larus,갈매기속,,,smithsonianus,옅은재갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001764
185,조류,정명,"Larus heuglini Bree, 1876",줄무늬노랑발갈매기,Bree,1876,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Larus,갈매기속,,,heuglini,줄무늬노랑발갈매기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001766
186,조류,정명,"Larus schistisagus Stejneger, 1884",큰재갈매기,Stejneger,1884,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Larus,갈매기속,,,schistisagus,큰재갈매기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001767
187,조류,정명,"Pagophila eburnea (Phipps, 1774)",북극흰갈매기,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Pagophila,북극흰갈매기속,,,eburnea,북극흰갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001775
188,조류,정명,"Xema sabini (Sabine, 1819)",목테갈매기,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Xema,목테갈매기속,,,sabini,목테갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001777
189,조류,정명,"Rissa tridactyla (Linnaeus, 1758)",세가락갈매기,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Rissa,세가락갈매기속,,,tridactyla,세가락갈매기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001779
190,조류,정명,"Sterna dougallii Montagu, 1813",긴꼬리제비갈매기,Montagu,1813,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Sterna,제비갈매기속,,,dougallii,긴꼬리제비갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001784
191,조류,정명,"Sterna hirundo Linnaeus, 1758",제비갈매기,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Sterna,제비갈매기속,,,hirundo,제비갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001785
192,조류,정명,"Chlidonias hybrida (Pallas, 1811)",구레나룻제비갈매기,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Chlidonias,흰죽지제비갈매기속,,,hybrida,구레나룻제비갈매기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001790
193,조류,정명,"Chlidonias leucopterus (Temminck, 1815)",흰죽지제비갈매기,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Chlidonias,흰죽지제비갈매기속,,,leucopterus,흰죽지제비갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001791
194,조류,정명,"Chlidonias niger (Linnaeus, 1758)",검은제비갈매기,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Laridae,갈매기과,Chlidonias,흰죽지제비갈매기속,,,niger,검은제비갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001792
195,조류,정명,"Stercorarius maccormicki Saunders, 1893",남극도둑갈매기,Saunders,1893,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Stercorariidae,도둑갈매기과,Stercorarius,도둑갈매기속,,,maccormicki,남극도둑갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001794
196,조류,정명,"Stercorarius pomarinus (Temminck, 1815)",넓적꼬리도둑갈매기,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Stercorariidae,도둑갈매기과,Stercorarius,도둑갈매기속,,,pomarinus,넓적꼬리도둑갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001797
197,조류,정명,"Stercorarius parasiticus (Linnaeus, 1758)",북극도둑갈매기,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Stercorariidae,도둑갈매기과,Stercorarius,도둑갈매기속,,,parasiticus,북극도둑갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001798
198,조류,정명,"Stercorarius longicaudus Vieillot, 1819",긴꼬리도둑갈매기,Vieillot,1819,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Stercorariidae,도둑갈매기과,Stercorarius,도둑갈매기속,,,longicaudus,긴꼬리도둑갈매기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001799
199,조류,정명,"Uria lomvia (Linnaeus, 1758)",큰부리바다오리,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Alcidae,바다오리과,Uria,바다오리속,,,lomvia,큰부리바다오리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001802
200,조류,정명,"Uria aalge (Pontoppidan, 1763)",바다오리,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Alcidae,바다오리과,Uria,바다오리속,,,aalge,바다오리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001803
201,조류,정명,"Brachyramphus perdix (Pallas, 1811)",알락쇠오리,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Alcidae,바다오리과,Brachyramphus,알락쇠오리속,,,perdix,알락쇠오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001807
202,조류,정명,"Synthliboramphus antiquus (Gmelin, 1789)",바다쇠오리,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Alcidae,바다오리과,Synthliboramphus,바다쇠오리속,,,antiquus,바다쇠오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001809
203,조류,정명,"Synthliboramphus wumizusume (Temminck, 1836)",뿔쇠오리,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Alcidae,바다오리과,Synthliboramphus,바다쇠오리속,,,wumizusume,뿔쇠오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001810
204,조류,정명,"Aethia pusilla (Pallas, 1811)",작은바다오리,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Alcidae,바다오리과,Aethia,뿔바다오리속,,,pusilla,작은바다오리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001812
205,조류,정명,"Cerorhinca monocerata (Pallas, 1811)",흰수염바다오리,,,Chordata,척삭동물문,Aves,조강,Charadriiformes,도요목,Alcidae,바다오리과,Cerorhinca,흰수염바다오리속,,,monocerata,흰수염바다오리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001814
206,조류,정명,"Syrrhaptes paradoxus (Pallas, 1773)",사막꿩,,,Chordata,척삭동물문,Aves,조강,Columbiformes,비둘기목,Pteroclidae,사막꿩과,Syrrhaptes,사막꿩속,,,paradoxus,사막꿩,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001818
207,조류,정명,"Columba rupestris Pallas, 1811",낭비둘기,Pallas,1811,Chordata,척삭동물문,Aves,조강,Columbiformes,비둘기목,Columbidae,비둘기과,Columba,흑비둘기속,,,rupestris,낭비둘기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001821
208,조류,정명,"Columba oenas Linnaeus, 1758",분홍가슴비둘기,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Columbiformes,비둘기목,Columbidae,비둘기과,Columba,흑비둘기속,,,oenas,분홍가슴비둘기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001822
209,조류,정명,"Columba janthina Temminck, 1830",흑비둘기,Temminck,1830,Chordata,척삭동물문,Aves,조강,Columbiformes,비둘기목,Columbidae,비둘기과,Columba,흑비둘기속,,,janthina,흑비둘기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001823
210,조류,정명,"Streptopelia decaocto (Frivaldszky, 1838)",염주비둘기,,,Chordata,척삭동물문,Aves,조강,Columbiformes,비둘기목,Columbidae,비둘기과,Streptopelia,멧비둘기속,,,decaocto,염주비둘기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001826
211,조류,정명,"Streptopelia tranquebarica (Hermann, 1804)",홍비둘기,,,Chordata,척삭동물문,Aves,조강,Columbiformes,비둘기목,Columbidae,비둘기과,Streptopelia,멧비둘기속,,,tranquebarica,홍비둘기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001827
212,조류,정명,"Streptopelia chinensis (Scopoli, 1786)",목점박이비둘기,,,Chordata,척삭동물문,Aves,조강,Columbiformes,비둘기목,Columbidae,비둘기과,Streptopelia,멧비둘기속,,,chinensis,목점박이비둘기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001828
213,조류,정명,"Treron sieboldii (Temminck, 1835)",녹색비둘기,,,Chordata,척삭동물문,Aves,조강,Columbiformes,비둘기목,Columbidae,비둘기과,Treron,녹색비둘기속,,,sieboldii,녹색비둘기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001830
214,조류,정명,"Clamator coromandus (Linnaeus, 1766)",밤색날개뻐꾸기,,,Chordata,척삭동물문,Aves,조강,Cuculiformes,두견목,Cuculidae,두견과,Clamator,밤색날개뻐꾸기속,,,coromandus,밤색날개뻐꾸기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001834
215,조류,정명,"Cuculus micropterus Gould, 1838",검은등뻐꾸기,Gould,1838,Chordata,척삭동물문,Aves,조강,Cuculiformes,두견목,Cuculidae,두견과,Cuculus,두견속,,,micropterus,검은등뻐꾸기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001838
216,조류,정명,"Cuculus canorus Linnaeus, 1758",뻐꾸기,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Cuculiformes,두견목,Cuculidae,두견과,Cuculus,두견속,,,canorus,뻐꾸기,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001839
217,조류,정명,"Cuculus poliocephalus Latham, 1790",두견,Latham,1790,Chordata,척삭동물문,Aves,조강,Cuculiformes,두견목,Cuculidae,두견과,Cuculus,두견속,,,poliocephalus,두견,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001841
218,조류,정명,"Surniculus lugubris (Horsfield, 1821)",검은두견이,,,Chordata,척삭동물문,Aves,조강,Cuculiformes,두견목,Cuculidae,두견과,Surniculus,검은두견이속,,,lugubris,검은두견이,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001843
219,조류,정명,"Eudynamys scolopacea (Linnaeus, 1758)",검은뻐꾸기,,,Chordata,척삭동물문,Aves,조강,Cuculiformes,두견목,Cuculidae,두견과,Eudynamys,검은뻐꾸기속,,,scolopacea,검은뻐꾸기,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001845
220,조류,정명,"Centropus bengalensis (Gmelin, 1788)",작은뻐꾸기사촌,,,Chordata,척삭동물문,Aves,조강,Cuculiformes,두견목,Cuculidae,두견과,Centropus,작은뻐꾸기사촌속,,,bengalensis,작은뻐꾸기사촌,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001847
221,조류,정명,"Otus bakkamoena Pennant, 1769",큰소쩍새,Pennant,1769,Chordata,척삭동물문,Aves,조강,Strigiformes,올빼미목,Strigidae,올빼미과,Otus,소쩍새속,,,bakkamoena,큰소쩍새,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001854
222,조류,정명,"Otus sunia (Hodgson, 1836)",소쩍새,,,Chordata,척삭동물문,Aves,조강,Strigiformes,올빼미목,Strigidae,올빼미과,Otus,소쩍새속,,,sunia,소쩍새,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001855
223,조류,정명,"Bubo bubo (Linnaeus, 1758)",수리부엉이,,,Chordata,척삭동물문,Aves,조강,Strigiformes,올빼미목,Strigidae,올빼미과,Bubo,수리부엉이속,,,bubo,수리부엉이,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001859
224,조류,정명,"Strix aluco Linnaeus, 1758",올빼미,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Strigiformes,올빼미목,Strigidae,올빼미과,Strix,올빼미속,,,aluco,올빼미,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001861
225,조류,정명,"Strix uralensis Pallas, 1771",긴점박이올빼미,Pallas,1771,Chordata,척삭동물문,Aves,조강,Strigiformes,올빼미목,Strigidae,올빼미과,Strix,올빼미속,,,uralensis,긴점박이올빼미,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001862
226,조류,정명,"Surnia ulula (Linnaeus, 1758)",긴꼬리올빼미,,,Chordata,척삭동물문,Aves,조강,Strigiformes,올빼미목,Strigidae,올빼미과,Surnia,긴꼬리올빼미속,,,ulula,긴꼬리올빼미,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001864
227,조류,정명,"Athene noctua (Scopoli, 1769)",금눈쇠올빼미,,,Chordata,척삭동물문,Aves,조강,Strigiformes,올빼미목,Strigidae,올빼미과,Athene,금눈쇠올빼미속,,,noctua,금눈쇠올빼미,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001866
228,조류,정명,"Ninox scutulata (Raffles, 1822)",솔부엉이,,,Chordata,척삭동물문,Aves,조강,Strigiformes,올빼미목,Strigidae,올빼미과,Ninox,솔부엉이속,,,scutulata,솔부엉이,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001868
