No,관리분류군,정이명여부,학명,대표국명,명명자,명명년도,Phylum,,Class,,Order,,Family,,Genus,,SubGenus,,Species,,콘텐츠 여부,URL
19,조류,정명,"Tadorna cristata (Kuroda, 1917)",원앙사촌,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Tadorna,혹부리오리속,,,cristata,원앙사촌,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001431
20,조류,정명,"Aix galericulata (Linnaeus, 1758)",원앙,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aix,원앙속,,,galericulata,원앙,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001433
21,조류,정명,"Anas rubripes Brewster, 1902",미국오리,Brewster,1902,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,rubripes,미국오리,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001439
22,조류,정명,"Anas platyrhynchos Linnaeus, 1758",청둥오리,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,platyrhynchos,청둥오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001440
23,조류,정명,"Anas acuta Linnaeus, 1758",고방오리,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,acuta,고방오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001443
24,조류,정명,"Anas crecca Linnaeus, 1758",쇠오리,Linnaeus,1758,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Anas,오리속,,,crecca,쇠오리,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001446
25,조류,정명,"Netta rufina (Pallas, 1773)",붉은부리흰죽지,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Netta,붉은부리흰죽지속,,,rufina,붉은부리흰죽지,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001448
26,조류,정명,"Aythya valisineria (A.Wilson, 1814)",큰흰죽지,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aythya,흰죽지속,,,valisineria,큰흰죽지,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001450
27,조류,정명,"Aythya americana (Eyton, 1838)",미국흰죽지,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aythya,흰죽지속,,,americana,미국흰죽지,X,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001451
28,조류,정명,"Aythya ferina (Linnaeus, 1758)",흰죽지,,,Chordata,척삭동물문,Aves,조강,Anseriformes,기러기목,Anatidae,오리과,Aythya,흰죽지속,,,ferina,흰죽지,O,https://species.nibr.go.kr/home/mainHome.do?cont_link=009&subMenu=009002&contCd=009002&pageMode=view&ktsn=120000001452
